Review_ID,Model_Name,Review_Date,Location,User_Type,Source,Ownership_Months,Review_Text
REV00101,Shine 125,2025-01-01,Hyderabad,Family User,Team-BHP,10,"Shine 125 leke life set ho gayi. Mileage acha hai, engine smooth."
REV00102,Activa 125,2025-01-02,Mumbai,Daily Commuter,YouTube Comments,12,"Activa 125 is reliable for city rides. Fuel efficiency zabardast."
REV00103,Activa 6G,2025-01-03,Bangalore,Beginner Rider,Instagram,4,"Activa 6G is easy to handle, perfect for beginners. Comfortable seat."
REV00104,Dio,2025-01-04,Kolkata,Track Rider,Facebook,9,"Dio performs well in daily commute and occasional long rides. Maintenance low."
REV00105,CBR650R,2025-01-05,Delhi NCR,Long Distance Rider,Twitter,14,"Powerful engine; not ideal for city traffic but excels on highways. Heat management okay."
REV00106,SP 125,2025-01-06,Chennai,Daily Commuter,MouthShut,6,"SP 125 gives balanced ride and good mileage. Very satisfied with pickup."
REV00107,Hornet 2.0,2025-01-07,Pune,Enthusiast,Team-BHP,8,"Hornet 2.0 is fun on twisties. Good build quality and responsive engine."
REV00108,CBR300R,2025-01-08,Ahmedabad,Family User,YouTube Comments,7,"Great beginner sport bike. Handles well in city and short trips."
REV00109,Activa 125,2025-01-09,Jaipur,Daily Commuter,Instagram,15,"Activa 125 reliable and comfortable for daily use. Storage is decent."
REV00110,Shine 125,2025-01-10,Bhubaneswar,Beginner Rider,Facebook,5,"Shine 125 offers smooth ride and good fuel economy. Recommended for families."
REV00111,Activa 6G,2025-01-11,Hyderabad,Track Rider,Twitter,11,"Activa 6G is nimble and practical. Not for racing but great overall."
REV00112,Dio,2025-01-12,Mumbai,Enthusiast,Team-BHP,3,"Dio feels light and efficient. Great for city errands."
REV00113,CBR1000RR-R Fireblade,2025-01-13,Bangalore,Long Distance Rider,MouthShut,24,"Fireblade is a beast on track. Premium feel but high maintenance cost."
REV00114,SP 125,2025-01-14,Chennai,Daily Commuter,YouTube Comments,9,"SP 125 is comfortable and fuel-efficient. Smooth delivery experience."
REV00115,Hornet 2.0,2025-01-15,Pune,Family User,Instagram,20,"Hornet's styling is aggressive and performance is solid for weekend rides."
REV00116,CBR650R,2025-01-16,Ahmedabad,Track Rider,Facebook,18,"CBR650R handles long distances well but city heat is noticeable."
REV00117,Activa 125,2025-01-17,Jaipur,Enthusiast,Twitter,2,"Lightweight and reliable. Good for daily commuting."
REV00118,Shine 125,2025-01-18,Bhubaneswar,Daily Commuter,Team-BHP,16,"Shine 125 has excellent mileage on highways and decent comfort."
REV00119,Activa 6G,2025-01-19,Hyderabad,Beginner Rider,YouTube Comments,1,"Easy to ride and maintain. Great starter scooter."
REV00120,Dio,2025-01-20,Mumbai,Family User,Instagram,10,"Dio provides dependable performance and low running cost."
REV00121,SP 125,2025-01-21,Bangalore,Daily Commuter,Facebook,22,"SP 125 is a balanced choice for city and occasional highway."
REV00122,CBR300R,2025-01-22,Chennai,Enthusiast,MouthShut,13,"CBR300R offers sporty feel with manageable power for new riders."
REV00123,Activa 125,2025-01-23,Pune,Track Rider,YouTube Comments,19,"Activa handles well; great for daily errands and short trips."
REV00124,Shine 125,2025-01-24,Ahmedabad,Family User,Instagram,14,"Shine 125 is comfortable and reliable for family rides."
REV00125,Activa 6G,2025-01-25,Jaipur,Daily Commuter,Facebook,6,"Good city scooter with low maintenance and fuel-efficient engine."
REV00126,Dio,2025-01-26,Bhubaneswar,Enthusiast,Team-BHP,7,"Dio's simplicity is its charm. Smooth small-engine performance."
REV00127,CBR650R,2025-01-27,Hyderabad,Long Distance Rider,YouTube Comments,30,"Powerful and stable at high speeds. Great for long highway runs."
REV00128,SP 125,2025-01-28,Mumbai,Daily Commuter,Instagram,4,"SP 125 feels peppy and efficient for daily commute."
REV00129,Hornet 2.0,2025-01-29,Bangalore,Enthusiast,Facebook,12,"Hornet is fun to ride with strong mid-range torque."
REV00130,CBR300R,2025-01-30,Chennai,Beginner Rider,MouthShut,3,"Light sport bike, easy to manage and maintain."
REV00131,Activa 125,2025-01-31,Pune,Daily Commuter,Team-BHP,8,"Reliable scooter, good storage and comfortable seat."
REV00132,Shine 125,2025-02-01,Ahmedabad,Family User,YouTube Comments,20,"Shine 125 has excellent build quality and fuel efficiency."
REV00133,Activa 6G,2025-02-02,Jaipur,Enthusiast,Instagram,9,"Activa 6G is dependable and practical for all ages."
REV00134,Dio,2025-02-03,Bhubaneswar,Track Rider,Facebook,15,"Dio surprises with its agility in city traffic. Low running cost."
REV00135,CBR1000RR-R Fireblade,2025-02-04,Hyderabad,Long Distance Rider,MouthShut,36,"Top-tier performance but expensive to maintain. Thrilling on open roads."
REV00136,SP 125,2025-02-05,Mumbai,Daily Commuter,YouTube Comments,11,"SP 125 is smooth and easy to ride, with steady mileage."
REV00137,Hornet 2.0,2025-02-06,Bangalore,Family User,Instagram,5,"Hornet's comfortable ergonomics make it pleasant for longer rides."
REV00138,CBR650R,2025-02-07,Chennai,Enthusiast,Facebook,21,"Agile and strong, great for experienced riders."
REV00139,Activa 125,2025-02-08,Pune,Daily Commuter,MouthShut,2,"Daily use friendly and fuel-saving. Highly recommend for city riders."
REV00140,Shine 125,2025-02-09,Ahmedabad,Beginner Rider,Team-BHP,7,"Shine 125 is forgiving for new riders and very reliable."
REV00141,Activa 6G,2025-02-10,Jaipur,Track Rider,YouTube Comments,18,"Good handling and consistent performance across conditions."
REV00142,Dio,2025-02-11,Bhubaneswar,Enthusiast,Instagram,13,"Dio is practical and low-cost; perfect for daily tasks."
REV00143,CBR300R,2025-02-12,Hyderabad,Daily Commuter,Facebook,9,"Sporty styling with a friendly powerband for city use."
REV00144,SP 125,2025-02-13,Mumbai,Family User,MouthShut,16,"Comfortable seating and reliable performance make it family-friendly."
REV00145,Hornet 2.0,2025-02-14,Bangalore,Enthusiast,Team-BHP,10,"Thrilling ride character and nimble chassis for canyon carving."
REV00146,CBR650R,2025-02-15,Chennai,Long Distance Rider,YouTube Comments,25,"Solid highway performance with stable handling and comfort."
REV00147,Activa 125,2025-02-16,Pune,Beginner Rider,Instagram,6,"Easy to operate with minimal maintenance. Great starter scooter."
REV00148,Shine 125,2025-02-17,Ahmedabad,Daily Commuter,Facebook,19,"Shine 125 keeps running reliably and is inexpensive to maintain."
REV00149,Activa 6G,2025-02-18,Jaipur,Family User,MouthShut,8,"Practical design and strong resale value. Comfortable daily rider."
REV00150,Dio,2025-02-19,Bhubaneswar,Enthusiast,Team-BHP,5,"Compact and efficient; great for quick errands and markets."
REV00151,SP 125,2025-02-20,Hyderabad,Daily Commuter,YouTube Comments,14,"SP 125 handles traffic well and gives consistent mileage."
REV00152,CBR300R,2025-02-21,Mumbai,Enthusiast,Instagram,7,"CBR300R is lightweight and fun with sporty dynamics."
REV00153,Activa 125,2025-02-22,Bangalore,Beginner Rider,Facebook,3,"Very easy to ride and maintain, perfect for new commuters."
REV00154,Shine 125,2025-02-23,Chennai,Family User,MouthShut,12,"Shine 125's engine is dependable with low vibration. Good long-term ownership."
REV00155,Activa 6G,2025-02-24,Pune,Daily Commuter,Team-BHP,11,"Reliable performance and smooth city commuting experience."
REV00156,Dio,2025-02-25,Ahmedabad,Enthusiast,YouTube Comments,4,"Dio is economical and easy to park, great for markets."
REV00157,CBR650R,2025-02-26,Jaipur,Track Rider,Instagram,29,"High power and rewarding throttle response on open roads."
REV00158,SP 125,2025-02-27,Bhubaneswar,Daily Commuter,Facebook,6,"Good for daily chores with excellent fuel consumption."
REV00159,Hornet 2.0,2025-02-28,Hyderabad,Enthusiast,MouthShut,18,"Hornet is comfortable and engaging for spirited rides."
REV00160,CBR300R,2025-03-01,Mumbai,Beginner Rider,Team-BHP,2,"Great first sports bike; manageable power and sharp looks."
REV00161,Activa 125,2025-03-02,Bangalore,Daily Commuter,YouTube Comments,20,"Dependable scooter with low running costs and good mileage."
REV00162,Shine 125,2025-03-03,Chennai,Family User,Instagram,15,"Shine 125 is smooth and simple; ideal for family buyers."
REV00163,Activa 6G,2025-03-04,Pune,Enthusiast,Facebook,9,"Practical and efficient — great for city use and short trips."
REV00164,Dio,2025-03-05,Ahmedabad,Track Rider,MouthShut,8,"Dio offers fuss-free riding and economical ownership."
REV00165,CBR1000RR-R Fireblade,2025-03-06,Jaipur,Long Distance Rider,Team-BHP,36,"Unmatched performance on track; premium ownership required."
REV00166,SP 125,2025-03-07,Bhubaneswar,Daily Commuter,YouTube Comments,10,"SP 125's pickup and ride comfort are well-balanced."
REV00167,Hornet 2.0,2025-03-08,Hyderabad,Enthusiast,Instagram,7,"Exciting to ride with a fun character for weekend outings."
REV00168,CBR650R,2025-03-09,Mumbai,Family User,Facebook,22,"Comfortable for long rides; maintenance costs are moderate."
REV00169,Activa 125,2025-03-10,Bangalore,Daily Commuter,MouthShut,5,"Low running cost and reliable daily commute partner."
REV00170,Shine 125,2025-03-11,Chennai,Beginner Rider,Team-BHP,3,"Shine is easy to learn on and confident for starter riders."
REV00171,Activa 6G,2025-03-12,Pune,Track Rider,YouTube Comments,16,"Solid urban performance and trustworthy mechanics."
REV00172,Dio,2025-03-13,Ahmedabad,Enthusiast,Instagram,6,"Dio's simplicity and economy make it an easy recommendation."
REV00173,CBR300R,2025-03-14,Jaipur,Family User,Facebook,13,"Fun family outings with a sporty edge and manageable power."
REV00174,SP 125,2025-03-15,Bhubaneswar,Daily Commuter,MouthShut,9,"Comfortable ergonomics and sensible performance for daily rides."
REV00175,Hornet 2.0,2025-03-16,Hyderabad,Enthusiast,Team-BHP,11,"Balanced chassis and enjoyable handling; great weekend bike."
REV00176,CBR650R,2025-03-17,Mumbai,Long Distance Rider,YouTube Comments,28,"Great for touring with stable dynamics and strong acceleration."
REV00177,Activa 125,2025-03-18,Bangalore,Beginner Rider,Instagram,2,"Simple controls and low seat height make it great for new riders."
REV00178,Shine 125,2025-03-19,Chennai,Daily Commuter,Facebook,17,"Shine 125 provides lasting reliability and smooth engine behavior."
REV00179,Activa 6G,2025-03-20,Pune,Family User,MouthShut,7,"Dependable and convenient for family errands and daily travel."
REV00180,Dio,2025-03-21,Ahmedabad,Enthusiast,Team-BHP,4,"Compact and economical with decent performance."
REV00181,SP 125,2025-03-22,Jaipur,Daily Commuter,YouTube Comments,14,"Good comfort and efficient fuel use for busy city days."
REV00182,CBR300R,2025-03-23,Bhubaneswar,Enthusiast,Instagram,6,"Nimble handling and pleasant mid-range power make it fun."
REV00183,Activa 125,2025-03-24,Hyderabad,Daily Commuter,Facebook,10,"Trustworthy daily scooter with low ownership costs."
REV00184,Shine 125,2025-03-25,Mumbai,Family User,MouthShut,21,"Shine 125 holds up well over time; minimal issues reported."
REV00185,Activa 6G,2025-03-26,Bangalore,Beginner Rider,Team-BHP,5,"Great for learning and comfortable city commuting."
REV00186,Dio,2025-03-27,Chennai,Track Rider,YouTube Comments,8,"Dio's compact size makes it perfect for city agility."
REV00187,CBR650R,2025-03-28,Pune,Enthusiast,Instagram,26,"Strong character and responsive chassis for spirited riding."
REV00188,SP 125,2025-03-29,Ahmedabad,Daily Commuter,Facebook,9,"Good everyday scooter with predictable performance."
REV00189,Hornet 2.0,2025-03-30,Jaipur,Family User,MouthShut,12,"Hornet is versatile and enjoyable for different ride styles."
REV00190,CBR300R,2025-03-31,Bhubaneswar,Beginner Rider,Team-BHP,3,"Affordable entry-level sports bike with decent performance."
REV00191,Activa 125,2025-04-01,Hyderabad,Daily Commuter,YouTube Comments,18,"Reliable and efficient—ideal for commuting and short trips."
REV00192,Shine 125,2025-04-02,Mumbai,Enthusiast,Instagram,22,"Shine's smooth engine and durability are impressive for the price."
REV00193,Activa 6G,2025-04-03,Bangalore,Family User,Facebook,6,"Comfortable seating and easy handling for everyone."
REV00194,Dio,2025-04-04,Chennai,Daily Commuter,MouthShut,7,"Economical and simple; great for markets and quick errands."
REV00195,CBR1000RR-R Fireblade,2025-04-05,Pune,Long Distance Rider,Team-BHP,36,"High-end track performance with premium engineering and price."
REV00196,SP 125,2025-04-06,Ahmedabad,Beginner Rider,YouTube Comments,4,"Starter-friendly and economical with pleasant ride quality."
REV00197,Hornet 2.0,2025-04-07,Jaipur,Enthusiast,Instagram,13,"Engaging ride and strong real-world usability for spirited riders."
REV00198,CBR650R,2025-04-08,Bhubaneswar,Family User,Facebook,20,"Comfortable for family tours with respectable performance."
REV00199,Activa 125,2025-04-09,Hyderabad,Daily Commuter,MouthShut,11,"No-nonsense scooter that performs reliably every day."
REV00200,Shine 125,2025-04-10,Mumbai,Enthusiast,Team-BHP,15,"Solid all-rounder with good mileage and dependable mechanics."
